	status	family	pval	qval	gene_short_name	num_cells_expressed	use_for_ordering
ENSMUSG00000026134	OK	negbinomial.size	4.91E-05	0.006702235	Prim2	2304	FALSE
ENSMUSG00000026196	OK	negbinomial.size	2.34E-05	0.003680982	Bard1	872	FALSE
ENSMUSG00000033952	OK	negbinomial.size	1.08E-05	0.001955794	Aspm	1676	FALSE
ENSMUSG00000041406	OK	negbinomial.size	0.000936287	0.080042237	BC055324	707	FALSE
ENSMUSG00000039748	OK	negbinomial.size	3.80E-05	0.005380133	Exo1	1779	FALSE
ENSMUSG00000026605	OK	negbinomial.size	9.02E-19	1.28E-15	Cenpf	3032	TRUE
ENSMUSG00000037474	OK	negbinomial.size	7.94E-11	4.41E-08	Dtl	3270	FALSE
ENSMUSG00000026669	OK	negbinomial.size	8.29E-05	0.010483782	Mcm10	1334	FALSE
ENSMUSG00000026728	OK	negbinomial.size	4.77E-12	3.37E-09	Vim	5949	FALSE
ENSMUSG00000036752	OK	negbinomial.size	5.30E-12	3.59E-09	Tubb4b	6498	FALSE
ENSMUSG00000036202	OK	negbinomial.size	7.08E-05	0.009415316	Rif1	4787	FALSE
ENSMUSG00000026960	OK	negbinomial.size	3.23E-08	1.17E-05	Arl6ip6	4407	FALSE
ENSMUSG00000027331	OK	negbinomial.size	0.000365419	0.035984549	Knstrn	2234	FALSE
ENSMUSG00000027323	OK	negbinomial.size	2.38E-05	0.003701079	Rad51	1836	FALSE
ENSMUSG00000027242	OK	negbinomial.size	4.46E-05	0.006139968	Wdr76	1426	FALSE
ENSMUSG00000027203	OK	negbinomial.size	3.46E-21	7.69E-18	Dut	6004	FALSE
ENSMUSG00000027342	OK	negbinomial.size	1.92E-20	3.73E-17	Pcna	3989	FALSE
ENSMUSG00000068154	OK	negbinomial.size	3.80E-05	0.005380133	Insm1	6841	FALSE
ENSMUSG00000036992	OK	negbinomial.size	0.000134326	0.015953976	Nxt1	3020	FALSE
ENSMUSG00000027469	OK	negbinomial.size	1.28E-05	0.002260491	Tpx2	2781	TRUE
ENSMUSG00000017861	OK	negbinomial.size	7.53E-05	0.009933499	Mybl2	1141	FALSE
ENSMUSG00000001403	OK	negbinomial.size	3.10E-25	9.64E-22	Ube2c	2992	TRUE
ENSMUSG00000006678	OK	negbinomial.size	2.18E-08	8.26E-06	Pola1	2392	FALSE
ENSMUSG00000048416	OK	negbinomial.size	4.96E-07	0.000126561	Mlf1	1321	FALSE
ENSMUSG00000027811	OK	negbinomial.size	0.000108939	0.013242091	4930579G24Rik	1416	FALSE
ENSMUSG00000004897	OK	negbinomial.size	0.000273169	0.028334927	Hdgf	7556	FALSE
ENSMUSG00000068855	OK	negbinomial.size	0.00014791	0.017174101	Hist2h2ac	1089	FALSE
ENSMUSG00000105827	OK	negbinomial.size	0.001100393	0.091556191	Hist2h2bb	813	FALSE
ENSMUSG00000068744	OK	negbinomial.size	1.88E-05	0.003149917	Psrc1	1033	FALSE
ENSMUSG00000051278	OK	negbinomial.size	0.000147359	0.017174101	Zgrf1	1056	FALSE
ENSMUSG00000045328	OK	negbinomial.size	1.39E-06	0.000327667	Cenpe	2359	TRUE
ENSMUSG00000028212	OK	negbinomial.size	2.94E-10	1.39E-07	Ccne2	1165	FALSE
ENSMUSG00000045751	OK	negbinomial.size	0.000401444	0.038555947	Mms22l	1630	FALSE
ENSMUSG00000035551	OK	negbinomial.size	0.000656376	0.059375283	Igfbpl1	7240	FALSE
ENSMUSG00000052684	OK	negbinomial.size	1.67E-06	0.000381619	Jun	6708	FALSE
ENSMUSG00000028693	OK	negbinomial.size	7.80E-08	2.58E-05	Nasp	7221	FALSE
ENSMUSG00000006398	OK	negbinomial.size	5.74E-13	4.70E-10	Cdc20	1969	FALSE
ENSMUSG00000042489	OK	negbinomial.size	2.72E-11	1.69E-08	Clspn	2508	FALSE
ENSMUSG00000028884	OK	negbinomial.size	8.49E-08	2.69E-05	Rpa2	2802	FALSE
ENSMUSG00000078521	OK	negbinomial.size	8.55E-06	0.001603119	Aunip	1111	FALSE
ENSMUSG00000018983	OK	negbinomial.size	5.39E-06	0.001060582	E2f2	1087	FALSE
ENSMUSG00000025747	OK	negbinomial.size	1.73E-16	1.92E-13	Tyms	3537	FALSE
ENSMUSG00000029177	OK	negbinomial.size	2.39E-27	9.30E-24	Cenpa	2337	TRUE
ENSMUSG00000004642	OK	negbinomial.size	2.10E-21	5.46E-18	Slbp	4893	FALSE
ENSMUSG00000057406	OK	negbinomial.size	5.03E-05	0.006811682	Nsd2	6246	FALSE
