Genes	Feature
Prim2	Branch1-up
Bard1	Branch1-up
Aspm	Branch2-up
BC055324	Branch1-up
Exo1	Branch1-up
Cenpf	Branch2-up
Dtl	Branch1-up
Mcm10	Branch1-up
Vim	Branch2-up
Tubb4b	Branch2-up
Rif1	Branch1-up
Arl6ip6	Branch1-up
Knstrn	Branch2-up
Rad51	Branch1-up
Wdr76	Branch1-up
Dut	Branch1-up
Pcna	Branch1-up
Insm1	Branch1-up
Nxt1	Branch1-up
Tpx2	Branch2-up
Mybl2	Branch1-up
Ube2c	Branch2-up
Pola1	Branch1-up
Mlf1	Branch1-up
4930579G24Rik	Branch1-up
Hdgf	Branch2-up
Hist2h2ac	Branch1-up
Hist2h2bb	Branch1-up
Psrc1	Branch2-up
Zgrf1	Branch1-up
Cenpe	Branch2-up
Ccne2	Branch1-up
Mms22l	Branch1-up
Igfbpl1	Pre-Branch-up
Jun	Branch1-up
Nasp	Branch1-up
Cdc20	Branch2-up
Clspn	Branch1-up
Rpa2	Branch1-up
Aunip	Branch1-up
E2f2	Branch1-up
Tyms	Branch1-up
Cenpa	Branch2-up
Slbp	Branch1-up
Nsd2	Branch1-up
Rfc1	Branch1-up
Dck	Branch1-up
Ung	Pre-Branch-up
Rfc5	Branch1-up
Rfc2	Branch1-up
Mcm7	Branch1-up
Brca2	Branch1-up
Rfc3	Branch1-up
Ptn	Branch2-up
Ezh2	Branch1-up
Mthfd2	Branch1-up
Mcm2	Pre-Branch-up
Ptms	Branch2-up
Rad51ap1	Branch1-up
Peg3	Branch1-up
Zfp574	Pre-Branch-up
Cep89	Branch2-up
Ccne1	Branch1-up
Nup62	Branch1-up
E2f8	Branch1-up
Ticrr	Branch1-up
Pold3	Branch1-up
Rrm1	Branch1-up
Arl6ip1	Branch2-up
Mki67	Branch1-up
Fbxo5	Branch1-up
Myb	Branch1-up
Marcks	Branch2-up
Fabp7	Pre-Branch-up
Cdk1	Branch1-up
Hsp90b1	Branch2-up
E2f7	Branch1-up
Phlda1	Pre-Branch-up
Prim1	Branch1-up
Neil3	Branch1-up
Orc6	Branch1-up
Rfwd3	Branch1-up
Gins2	Branch1-up
Cdt1	Branch1-up
Dnajc9	Branch1-up
Dlgap5	Branch2-up
Pbk	Branch1-up
Esco2	Branch1-up
Ipo5	Branch1-up
Ncapd3	Branch1-up
Gm17322	Pre-Branch-up
Tipin	Branch1-up
Pclaf	Branch1-up
Ccnb2	Branch2-up
Atad5	Branch1-up
Slfn9	Branch1-up
Brip1	Branch1-up
Top2a	Branch1-up
Psmc3ip	Branch1-up
Brca1	Branch1-up
Jpt1	Branch2-up
H3f3b	Branch1-up
Tk1	Branch1-up
Hist1h1b	Branch1-up
Hist1h2an	Branch1-up
Hist1h1d	Branch1-up
Hist1h3e	Branch1-up
Hist1h4d	Branch1-up
Hist1h1e	Branch1-up
Hist1h1c	Branch1-up
Hist1h3c	Branch1-up
Hist1h2ab	Branch1-up
Hist1h1a	Branch1-up
Gmnn	Branch1-up
Dek	Branch1-up
Cks2	Branch2-up
Map1b	Branch2-up
Ccnb1	Branch2-up
Smc6	Branch1-up
Rrm2	Branch1-up
Ifrd1	Branch1-up
Rtn1	Branch2-up
Ubr7	Branch1-up
Ncapg2	Branch1-up
Skp2	Branch1-up
Atad2	Branch1-up
Lgals1	Branch2-up
H1f0	Branch1-up
Desi1	Pre-Branch-up
Tuba1b	Branch1-up
Tuba1c	Branch2-up
Ppp1r1a	Pre-Branch-up
Ranbp1	Branch1-up
Cdc45	Branch1-up
Rfc4	Branch1-up
Pkmyt1	Branch1-up
Tcf19	Branch1-up
Tubb5	Branch1-up
Nrm	Branch1-up
Chaf1a	Branch1-up
Memo1	Branch1-up
Msh2	Pre-Branch-up
Msh6	Pre-Branch-up
Gm47283	Branch1-up
Lmnb1	Branch2-up
Cdca5	Branch1-up
Ppp1r14b	Branch2-up
Fen1	Branch1-up
Fam111a	Branch1-up
Smc3	Branch1-up
