Group	Gene	gene_short_name	specificity	morans_I	morans_test_statistic	pval	qval	mean	num_cells_expressed_in_group	percentage	status	num_cells_expressed	use_for_ordering
1	1	ENSMUSG00000029591	Ung	0.594186125035308	0.497277011332376	168.960080839243	0	0	0.571155199405559	1158	0.38716148445336	OK	2024	TRUE
2	1	ENSMUSG00000097604	Gm17322	0.576402428173434	0.278165357231956	94.5223770402323	0	0	0.862513226795469	1470	0.491474423269809	OK	3164	TRUE
3	1	ENSMUSG00000024990	Rbp4	0.573353339986717	0.273530073104128	92.9471366587183	0	0	0.704119859229421	1532	0.512203276496155	OK	3231	TRUE
4	1	ENSMUSG00000031891	Hsd11b2	0.570473196598513	0.26427230666503	89.8005005768617	0	0	0.761783363009073	1740	0.581745235707121	OK	3831	TRUE
5	1	ENSMUSG00000030796	Tead2	0.56393303668909	0.351013560027518	119.261032641436	0	0	0.996873375539828	2328	0.778335005015045	OK	4853	TRUE
6	1	ENSMUSG00000055612	Cdca7	0.563253952149055	0.351849440144318	119.548333244204	0	0	0.650456730318114	1497	0.500501504513541	OK	3226	TRUE
7	1	ENSMUSG00000002870	Mcm2	0.560752461945466	0.429142745950332	145.8031991356	0	0	0.651328645971923	1399	0.46773654296222	OK	3044	TRUE
8	1	ENSMUSG00000042804	Gpr153	0.560146857359167	0.252417669576386	85.7750621967294	0	0	0.637992775406712	1675	0.560013373453694	OK	3442	TRUE
9	1	ENSMUSG00000022945	Chaf1b	0.557852829857663	0.406495406063925	138.121291893496	0	0	0.381440944740544	894	0.298896690070211	OK	2068	TRUE
10	1	ENSMUSG00000026355	Mcm6	0.557334869274296	0.591964825572659	201.100152855211	0	0	1.35643126651457	2280	0.762286860581745	OK	4859	TRUE
11	1	ENSMUSG00000051243	Islr2	0.555613330081047	0.275900499591387	93.7495615068049	0	0	0.764744481045856	1713	0.57271815446339	OK	4297	TRUE
12	1	ENSMUSG00000029005	Draxin	0.555350781770532	0.354230194208294	120.356799052799	0	0	1.21494548299541	2593	0.866934135740555	OK	6100	TRUE
13	1	ENSMUSG00000058173	Smco4	0.551930316427391	0.39104933668256	132.859034379558	0	0	0.847011245309289	2017	0.674356402540956	OK	4482	TRUE
14	1	ENSMUSG00000005410	Mcm5	0.551518812751518	0.470085102929715	159.70676775679	0	0	0.744783110991981	1513	0.505850885991307	OK	3485	TRUE
15	1	ENSMUSG00000022673	Mcm4	0.551271993197534	0.410086810917483	139.330394973555	0	0	0.630011887075699	1332	0.445336008024072	OK	3047	TRUE
16	1	ENSMUSG00000020538	Srebf1	0.550506168263029	0.291856617113536	99.1692733955067	0	0	0.915153341727119	1962	0.655967903711133	OK	4290	TRUE
17	1	ENSMUSG00000025001	Hells	0.549648215300023	0.59282777282466	201.39735494327	0	0	0.90816688310661	1488	0.497492477432297	OK	3546	TRUE
18	1	ENSMUSG00000052397	Ezr	0.548391833287517	0.344542612330316	117.06437266643	0	0	1.26609491782932	2554	0.853895018388499	OK	5606	TRUE
19	1	ENSMUSG00000017144	Rnd3	0.547992196107309	0.251535670601416	85.4737239363998	0	0	1.01181364853898	2159	0.721832163156135	OK	5181	TRUE
20	1	ENSMUSG00000027495	Fam210b	0.546484142958029	0.250647119631104	85.1721568187602	0	0	0.883460787885238	1896	0.633901705115346	OK	4624	TRUE
21	1	ENSMUSG00000031661	Nkd1	0.546349242240387	0.362342088146448	123.108938407286	0	0	1.14913631365638	2290	0.765630224005349	OK	4879	TRUE
22	1	ENSMUSG00000026805	Barhl1	0.546151767380154	0.449925814710343	152.866067029644	0	0	1.57259217685444	2797	0.93513874958208	OK	6813	TRUE
23	1	ENSMUSG00000041859	Mcm3	0.545904215647826	0.599385569843564	203.623353228932	0	0	0.973278248092508	1592	0.53226345703778	OK	3657	TRUE
24	1	ENSMUSG00000006362	Cbfa2t3	0.544518983442297	0.355874858552918	120.916186086977	0	0	1.4600679410284	2712	0.906720160481444	OK	6312	TRUE
25	1	ENSMUSG00000069793	Slfn9	0.543754078466399	0.402597167765746	136.80752013997	0	0	0.325570983325581	645	0.215646940822467	OK	1741	TRUE
26	1	ENSMUSG00000068373	D430041D05Rik	0.542877053341218	0.299942405213174	101.916508050697	0	0	1.18901698796924	2495	0.834169174189234	OK	5847	TRUE
27	1	ENSMUSG00000070348	Ccnd1	0.542592429779534	0.560145518509532	190.292955266978	0	0	1.62496370200807	2556	0.85456369107322	OK	5239	TRUE
28	1	ENSMUSG00000031821	Gins2	0.542075683064023	0.301570293940475	102.476348701155	0	0	0.390531916441796	918	0.306920762286861	OK	2377	TRUE
29	1	ENSMUSG00000047907	Tshz2	0.541768393504143	0.348722737387858	118.487975191473	0	0	1.40730249457976	2710	0.906051487796724	OK	6459	TRUE
30	1	ENSMUSG00000028044	Cks1b	0.541132808729712	0.506421846208832	172.045791262399	0	0	1.03559569659061	2209	0.738548980274156	OK	5275	TRUE
31	1	ENSMUSG00000006585	Cdt1	0.539639759231538	0.344444852302675	117.048049714435	0	0	0.284165364481814	689	0.230357739886326	OK	1848	TRUE
32	1	ENSMUSG00000027239	Mdk	0.539570264324484	0.288093422386453	97.8909333202437	0	0	1.60508206704811	2321	0.775994650618522	OK	5448	TRUE
33	1	ENSMUSG00000031548	Sfrp1	0.539352424228784	0.496900815622379	168.829832862607	0	0	1.89556411114985	2869	0.959210966232029	OK	7214	TRUE
34	1	ENSMUSG00000047904	Sstr2	0.538678103083856	0.286564424231227	97.3737052105113	0	0	0.568886338534368	1194	0.399197592778335	OK	3371	TRUE
35	1	ENSMUSG00000017499	Cdc6	0.53834701415858	0.335433644231483	114.014310619952	0	0	0.145660809421822	342	0.114343029087262	OK	1044	TRUE
36	1	ENSMUSG00000040274	Cdk6	0.538291918673297	0.485718979619358	165.029753985209	0	0	1.68921826025645	2868	0.958876629889669	OK	7096	TRUE
37	1	ENSMUSG00000031245	Hmgn5	0.538260540935624	0.300717613436331	102.178095881466	0	0	0.917293238223781	2127	0.711133400200602	OK	5055	TRUE
38	1	ENSMUSG00000029730	Mcm7	0.538252613261865	0.42189615194605	143.337611703936	0	0	1.21156676568004	2354	0.787027749916416	OK	5638	TRUE
39	1	ENSMUSG00000037474	Dtl	0.537836024199231	0.459276588057359	156.037457471431	0	0	0.559568024460143	1181	0.39485122032765	OK	3270	TRUE
40	1	ENSMUSG00000026278	Bok	0.536758342514531	0.313942657891965	106.671133471974	0	0	1.1299882718181	2305	0.770645269140756	OK	5685	TRUE
41	1	ENSMUSG00000043668	Tox3	0.536340429453401	0.274812221173959	93.3813878021928	0	0	1.01763114161532	2314	0.773654296221999	OK	6004	TRUE
42	1	ENSMUSG00000021707	Dhfr	0.536333004744622	0.432740351402584	147.02621550551	0	0	0.548231559503622	1135	0.379471748579071	OK	2948	TRUE
43	1	ENSMUSG00000028884	Rpa2	0.536317368992776	0.41954720756672	142.545418559364	0	0	0.473632943034876	1079	0.360748913406887	OK	2802	TRUE
44	1	ENSMUSG00000035960	Apex1	0.536180664494811	0.329101866091766	111.823149209685	0	0	1.26051808027426	2643	0.883650952858576	OK	6396	TRUE
45	1	ENSMUSG00000021466	Ptch1	0.535979527130073	0.364406353505443	123.811641616364	0	0	1.30618896341718	2402	0.803075894349716	OK	5665	TRUE
46	1	ENSMUSG00000023942	Slc29a1	0.535909914022224	0.454422912968109	154.393430976285	0	0	1.53678453084866	2687	0.898361751922434	OK	6768	TRUE
47	1	ENSMUSG00000002835	Chaf1a	0.535902118881905	0.380943516798978	129.438485746328	0	0	0.369959762366587	837	0.279839518555667	OK	2324	TRUE
48	1	ENSMUSG00000019303	Psmc3ip	0.535794198695288	0.337890348626446	114.81037027143	0	0	0.391210419238379	971	0.324640588431963	OK	2624	TRUE
49	1	ENSMUSG00000048747	E130114P18Rik	0.5356849874331	0.396358785469056	134.671236200982	0	0	1.62034445135025	2687	0.898361751922434	OK	6840	TRUE
50	1	ENSMUSG00000097248	Gm2694	0.535514988638673	0.28919502521003	98.2653793635873	0	0	1.09705083396763	2337	0.781344032096289	OK	5437	TRUE
51	1	ENSMUSG00000019146	Cacng2	0.535490377498256	0.274942436089626	93.4255818740695	0	0	1.11156712854158	2283	0.763289869608826	OK	6028	TRUE
52	1	ENSMUSG00000068154	Insm1	0.535486281143648	0.492541378749549	167.341842062665	0	0	1.43919952859365	2565	0.857572718154463	OK	6841	TRUE
53	1	ENSMUSG00000031822	Gse1	0.53542326886437	0.369562619118571	125.567801962741	0	0	1.25471930933166	2609	0.872283517218322	OK	6650	TRUE
54	1	ENSMUSG00000001228	Uhrf1	0.535288509993079	0.52676879291881	178.965394990119	0	0	0.586708778198862	1092	0.365095285857573	OK	2938	TRUE
55	1	ENSMUSG00000035551	Igfbpl1	0.535154712041879	0.647702122815729	220.052722399097	0	0	1.93084766654902	2768	0.925442995653628	OK	7240	TRUE
56	1	ENSMUSG00000045532	C1ql1	0.534842437248162	0.60511775730392	205.584988453769	0	0	1.77535460695023	2851	0.953192912069542	OK	7063	TRUE
57	1	ENSMUSG00000033970	Rfc3	0.53479950603833	0.287779058026658	97.7850191813041	0	0	0.55016206203368	1364	0.456034770979605	OK	3569	TRUE
58	1	ENSMUSG00000003038	Hmgn2	0.534691714223277	0.530624624911682	180.269734242719	0	0	1.40459790742936	2536	0.847876964226011	OK	6064	TRUE
59	1	ENSMUSG00000052957	Gas1	0.534620102660374	0.315716583514366	107.277849214489	0	0	0.46799559644249	1149	0.384152457372116	OK	2868	TRUE
60	1	ENSMUSG00000025395	Prim1	0.534319417928669	0.473154012134282	160.74875310352	0	0	0.576053475966421	1293	0.432296890672016	OK	3480	TRUE
61	1	ENSMUSG00000042129	Rassf4	0.534314630577585	0.290209168821773	98.6111988812024	0	0	1.25767042766175	2358	0.788365095285858	OK	6090	TRUE
62	1	ENSMUSG00000021754	Map3k1	0.534109735740885	0.407232787017584	138.368920930817	0	0	1.46216202020524	2785	0.931126713473755	OK	7077	TRUE
63	1	ENSMUSG00000022881	Rfc4	0.533743030017355	0.431956900388024	146.753269719755	0	0	0.774038228237315	1654	0.552992310264126	OK	4382	TRUE
64	1	ENSMUSG00000059146	Ntrk3	0.533653469179882	0.358788536772839	121.902837936689	0	0	1.15093592246261	2212	0.739551989301237	OK	5428	TRUE
65	1	ENSMUSG00000056394	Lig1	0.533565826350839	0.457732464942149	155.513346270002	0	0	0.613675467756005	1204	0.402540956201939	OK	3168	TRUE
66	1	ENSMUSG00000035455	Fignl1	0.533542467904606	0.252045213241384	85.6584136407507	0	0	0.253503790344364	663	0.221664994984955	OK	1876	TRUE
67	1	ENSMUSG00000018698	Lhx1	0.53352980160954	0.344472491516118	117.040582930156	0	0	0.881801036466873	1886	0.630558341691742	OK	5382	TRUE
68	1	ENSMUSG00000064326	Siva1	0.533446891433088	0.427905142896081	145.379798960415	0	0	1.3210200293869	2511	0.839518555667001	OK	5912	TRUE
69	1	ENSMUSG00000029478	Ncor2	0.532978464362714	0.25912423669805	88.0513039158693	0	0	1.00779439947687	2263	0.756603142761618	OK	5187	TRUE
70	1	ENSMUSG00000074480	Mex3a	0.532861153704422	0.372076872835426	126.422424066846	0	0	1.15568401895868	2495	0.834169174189234	OK	6708	TRUE
71	1	ENSMUSG00000067367	Lyar	0.532854394964234	0.323598775298944	109.949600716239	0	0	0.888973481008065	2123	0.70979605483116	OK	5111	TRUE
72	1	ENSMUSG00000027203	Dut	0.532227074407615	0.569872805516197	193.600275880186	0	0	1.489747341437	2505	0.837512537612839	OK	6004	TRUE
73	1	ENSMUSG00000026728	Vim	0.532186220876864	0.342735582130264	116.451933885354	0	0	1.63113331989789	2549	0.852223336676697	OK	5949	TRUE
74	1	ENSMUSG00000022528	Hes1	0.532061982832253	0.406543327305843	138.157272685484	0	0	0.631790930419854	809	0.270478100969575	OK	1510	TRUE
75	1	ENSMUSG00000020186	Csrp2	0.532001027295318	0.256412371614446	87.1319524976354	0	0	0.510625001837341	1311	0.438314944834504	OK	3307	TRUE
